id,host_identity_verified,neighbourhood_group,cancellation_policy,room_type,construction_year,price_us_dol,service_fee,minimum_nights,number_of_reviews,review_rate_number
39586671,unconfirmed,brooklyn,flexible,shared room,2012,1005,201,3,19,1
31114941,unconfirmed,manhattan,flexible,entire home/apt,2021,723,145,3,24,4
48921093,verified,queens,flexible,entire home/apt,2009,606,121,28,1,4
13253559,verified,brooklyn,flexible,entire home/apt,2019,574,115,3,8,5
56460541,verified,brooklyn,strict,shared room,2012,284,57,2,0,2
26931821,unconfirmed,manhattan,flexible,entire home/apt,2005,451,90,3,2,2
28607499,verified,queens,moderate,entire home/apt,2014,598,120,3,98,2
57081878,unconfirmed,manhattan,strict,private room,2010,1123,225,1,0,5
55282485,unconfirmed,queens,flexible,shared room,2016,971,194,5,2,5
17854771,verified,manhattan,moderate,entire home/apt,2022,1125,225,7,5,3
28562211,verified,brooklyn,flexible,entire home/apt,2005,394,79,1,9,3
46030907,verified,brooklyn,moderate,entire home/apt,2008,852,170,2,74,5
41958799,verified,brooklyn,flexible,entire home/apt,2019,334,67,5,9,2
17066638,unconfirmed,manhattan,strict,entire home/apt,2008,99,20,5,3,3
10815707,verified,manhattan,flexible,private room,2020,1153,231,2,121,3
28893591,unconfirmed,staten island,strict,entire home/apt,2017,329,66,1,64,3
40487472,verified,manhattan,flexible,entire home/apt,2017,419,84,1,1,5
51663815,verified,manhattan,strict,entire home/apt,2016,452,90,1,146,3
10432963,verified,manhattan,flexible,entire home/apt,2018,1195,239,30,0,2
40452125,verified,brooklyn,flexible,private room,2013,799,160,2,8,4
13978729,verified,queens,strict,entire home/apt,2017,291,58,8,117,1
53653752,unconfirmed,queens,strict,private room,2015,438,88,1,0,5
33622936,unconfirmed,manhattan,moderate,private room,2003,1013,203,2,10,3
27639317,verified,queens,moderate,private room,2006,355,71,1,2,3
14899966,unconfirmed,queens,moderate,entire home/apt,2020,914,183,2,2,2
49032106,unconfirmed,brooklyn,strict,private room,2005,1031,206,2,1,5
18900274,unconfirmed,brooklyn,moderate,entire home/apt,2009,854,171,2,41,2
30567060,verified,queens,flexible,private room,2022,938,188,1,6,5
36288888,unconfirmed,manhattan,strict,entire home/apt,2020,939,188,4,31,3
40662551,verified,manhattan,flexible,private room,2018,1055,211,1,6,1
45982857,verified,queens,flexible,entire home/apt,2013,218,44,7,23,5
56567134,verified,brooklyn,moderate,private room,2013,138,28,2,4,4
33411957,verified,queens,moderate,private room,2003,273,55,3,2,2
54991975,unconfirmed,manhattan,strict,entire home/apt,2003,857,171,1,42,3
